       1.1000000E+01       0.0000000E+00
       3.1516382E-01      -2.2336533E+01
       4.2000000E+01       5.4683494E-07
       4.0000000E+01       1.5003660E-06
       3.8000000E+01       3.8357898E-06
       3.6000000E+01       9.1828479E-06
       3.4000000E+01       2.0680531E-05
       3.2000000E+01       4.4001274E-05
       3.0000000E+01       8.8800713E-05
       2.8000000E+01       1.7061668E-04
       2.6000000E+01       3.1316603E-04
       2.4000000E+01       5.5089052E-04
       2.2000000E+01       9.3150657E-04
       2.0000000E+01       1.5182330E-03
       1.8000000E+01       2.3913363E-03
       1.6000000E+01       3.6486515E-03
       1.4000000E+01       5.4047988E-03
       1.2000000E+01       7.7889990E-03
       1.0000000E+01       1.0941451E-02
       8.0000000E+00       1.5008485E-02
       6.0000000E+00       2.0136807E-02
       4.0000000E+00       2.6467251E-02
       2.0000000E+00       3.4550697E-02
       0.0000000E+00       4.5487292E-02
      -2.0000000E+00       6.0136180E-02
      -4.0000000E+00       7.9492405E-02
      -6.0000000E+00       1.0463988E-01
      -8.0000000E+00       1.3665694E-01
      -1.0000000E+01       1.7647621E-01
      -1.2000000E+01       2.2470957E-01
      -1.4000000E+01       2.8146279E-01
      -1.6000000E+01       3.4617847E-01
      -1.8000000E+01       4.1755369E-01
      -2.0000000E+01       4.9356577E-01
      -2.2000000E+01       5.7162297E-01
      -2.4000000E+01       6.4882201E-01
      -2.6000000E+01       7.2226852E-01
      -2.8000000E+01       7.8939867E-01
      -3.0000000E+01       8.4824145E-01
      -3.2000000E+01       8.9758098E-01
      -3.4000000E+01       9.3409288E-01
      -3.6000000E+01       9.5789385E-01
      -3.8000000E+01       9.7322232E-01
      -4.0000000E+01       9.8301995E-01
      -4.2000000E+01       9.8925245E-01
      -4.4000000E+01       9.9320525E-01
